"weight";"lat";"lon"
"527";"48.19";"15.223"
"516";"48.06";"14.953"
"469";"48.06";"14.943"
"456";"48.07";"14.963"
"453";"48.04";"14.903"
"452";"48.33";"14.583"
"451";"48.34";"14.533"
"449";"48.25";"14.893"
"447";"48.28";"14.773"
"446";"48.28";"14.763"
"445";"48.03";"14.883"
"443";"48.34";"14.523"
"441";"48.28";"14.753"
"440";"48.24";"14.913"
"437";"48.04";"14.893"
"435";"47.94";"14.683"
"432";"48.15";"15.143"
"426";"48.33";"14.573"
"426";"48.18";"15.203"
"422";"48.03";"14.873"
"421";"48.19";"15.233"
"420";"48.15";"15.133"
"418";"48.06";"14.893"
"414";"48.24";"14.923"
"411";"48.26";"14.833"
"409";"48.29";"14.723"
"405";"48.27";"14.803"
"404";"48.33";"14.563"
"402";"48.25";"14.883"
"401";"48.25";"14.873"
"399";"48.17";"15.193"
"398";"48.36";"14.443"
"398";"48.27";"14.793"
"393";"48.92";"15.063"
"387";"48.16";"15.233"
"386";"47.94";"14.673"
"386";"47.93";"14.663"
"385";"48.4";"14.303"
"385";"48.34";"14.543"
"382";"48.35";"14.483"
"381";"48.28";"14.783"
"375";"48.07";"14.973"
"375";"48.06";"14.833"
"374";"48.02";"14.863"
"374";"47.95";"14.703"
"371";"48.22";"14.993"
"371";"48.06";"14.903"
"365";"48.29";"14.743"
"364";"48.22";"15.013"
"363";"48.39";"14.323"
"362";"48.3";"14.693"
"362";"48.24";"14.933"
"360";"49.14";"15.383"
"359";"48.06";"14.753"
"358";"48.23";"14.973"
"357";"48.05";"14.923"
"355";"48.32";"14.603"
"355";"48.27";"14.813"
"355";"48.26";"14.843"
"355";"48.18";"15.213"
"355";"48.06";"14.823"
"355";"48.02";"14.853"
"354";"48.06";"14.723"
"354";"47.93";"14.653"
"352";"48.27";"14.823"
"352";"48.24";"15.333"
"352";"48.06";"14.743"
"349";"48.14";"15.123"
"348";"48.06";"14.843"
"347";"48.06";"14.813"
"345";"49.14";"15.373"
"345";"48.25";"14.903"
"344";"48.06";"14.883"
"343";"48.22";"15.003"
"342";"48.29";"14.733"
"342";"48.18";"15.133"
"340";"48.06";"14.713"
"339";"49.21";"15.063"
"339";"48.36";"14.433"
"338";"48.22";"15.293"
"336";"48.32";"14.593"
"336";"48.16";"15.243"
"334";"48.06";"14.933"
"332";"48.36";"14.453"
"332";"48.35";"14.493"
"332";"48.06";"14.733"
"330";"48.39";"14.313"
"329";"48.34";"14.513"
"327";"48.3";"14.683"
"325";"49.18";"15.403"
"322";"48.23";"14.983"
"322";"47.9";"14.593"
"321";"48.08";"14.993"
"321";"48";"14.813"
"320";"47.89";"14.573"
"317";"48.2";"15.063"
"316";"48.33";"14.553"
"315";"48.19";"15.123"
"314";"47.96";"14.723"
"313";"48.14";"15.113"
"310";"49.14";"15.393"
"310";"48.3";"14.703"
"308";"48.32";"15.293"
"308";"48.06";"14.783"
"307";"48.4";"14.293"
"307";"48.29";"14.713"
"307";"48.26";"14.853"
"305";"48.06";"14.803"
"303";"48.35";"14.473"
"302";"48.12";"15.073"
"301";"48.24";"15.343"
"299";"48.06";"14.683"
"299";"47.98";"14.763"
"298";"48.19";"15.113"
"298";"48.06";"14.763"
"298";"47.99";"14.793"
"298";"47.97";"14.753"
"297";"48.23";"14.963"
"297";"48.18";"15.143"
"297";"48.09";"15.013"
"297";"47.92";"14.633"
"296";"48.32";"14.613"
"296";"48.05";"14.913"
"295";"48.37";"14.423"
"293";"49.22";"14.983"
"293";"48.21";"15.273"
"292";"48.1";"14.743"
"291";"48.06";"14.853"
"291";"48.05";"14.933"
"290";"48.12";"15.063"
"289";"47.98";"14.773"
"288";"48.06";"14.673"
"285";"48.74";"15.103"
"285";"48.41";"14.243"
"285";"48.06";"14.963"
"285";"47.97";"14.743"
"284";"49.15";"15.323"
"284";"48.3";"14.673"
"284";"47.95";"14.693"
"283";"48.2";"15.073"
"283";"48.06";"14.703"
"280";"48.2";"15.253"
"280";"48.06";"14.793"
"279";"48.06";"14.773"
"278";"48.17";"15.203"
"278";"48.06";"14.913"
"277";"49.12";"15.463"
"277";"48.31";"15.333"
"277";"48.24";"14.903"
"277";"48.06";"14.663"
"275";"49.13";"15.453"
"275";"48.01";"14.833"
"271";"48.23";"15.313"
"270";"49.17";"15.233"
"270";"48.36";"14.463"
"269";"47.92";"14.643"
"268";"48.06";"14.923"
"267";"48.21";"15.263"
"266";"48.41";"14.253"
"266";"47.91";"14.613"
"265";"48.95";"15.553"
"265";"48.91";"15.073"
"265";"48.26";"14.863"
"265";"48.23";"15.323"
"264";"48.06";"14.653"
"263";"48.39";"15.683"
"262";"48.73";"15.083"
"262";"47.9";"14.583"
"261";"48.24";"14.943"
"260";"48.89";"15.113"
"258";"48.4";"14.283"
"258";"48.06";"14.693"
"257";"49.22";"14.993"
"257";"48.08";"14.983"
"256";"48.39";"14.333"
"255";"48.31";"15.323"
"253";"48.17";"15.183"
"253";"48.1";"14.733"
"252";"48.72";"15.063"
"251";"48.9";"15.093"
"251";"48.25";"15.363"
"250";"48.5";"15.933"
"249";"49.17";"15.223"
"249";"48.16";"15.153"
"248";"48.35";"15.113"
"248";"48.34";"15.173"
"248";"48.1";"14.753"
"247";"48.27";"15.403"
"247";"48.22";"15.023"
"247";"48.19";"15.103"
"247";"48.04";"14.913"
"246";"49.17";"15.243"
"246";"48.37";"14.413"
"246";"48.2";"15.243"
"246";"48.13";"15.083"
"245";"49.23";"14.963"
"244";"48.34";"15.153"
"244";"48.33";"15.233"
"244";"48.16";"15.223"
"243";"48.32";"15.303"
"242";"48.75";"15.083"
"241";"49.22";"15.003"
"241";"48.26";"15.393"
"240";"48.34";"15.163"
"240";"48.04";"14.883"
"240";"48";"14.803"
"240";"47.96";"14.733"
"239";"49.22";"15.013"
"239";"49.07";"15.703"
"239";"48.41";"14.233"
"239";"48.2";"15.083"
"239";"48.09";"14.773"
"238";"48.37";"14.983"
"238";"48.35";"14.503"
"237";"48.74";"15.113"
"236";"48.9";"15.103"
"236";"48.43";"15.773"
"236";"48.31";"15.363"
"236";"48.21";"15.283"
"236";"48.06";"14.863"
"236";"47.89";"14.563"
"235";"48.93";"15.573"
"235";"48.11";"14.713"
"234";"49.17";"15.413"
"234";"48.42";"14.663"
"234";"48.11";"14.723"
"233";"48.35";"15.103"
"233";"48.33";"14.593"
"232";"49.24";"14.883"
"232";"48.21";"15.033"
"232";"48.13";"15.093"
"231";"49.15";"15.313"
"231";"48.06";"15.063"
"230";"49.17";"15.253"
"230";"47.99";"14.783"
"229";"49.16";"15.273"
"229";"48.06";"14.643"
"228";"47.88";"14.553"
"227";"48.4";"15.713"
"227";"48.06";"14.973"
"227";"48.01";"14.843"
"226";"48.94";"15.013"
"226";"48.18";"15.193"
"226";"48.1";"15.453"
"225";"48.28";"15.423"
"225";"48.22";"15.303"
"225";"48.06";"14.873"
"224";"48.94";"15.563"
"224";"48.37";"14.953"
"224";"48.09";"15.003"
"223";"49.23";"14.973"
"223";"49.21";"15.043"
"223";"48.21";"15.043"
"223";"47.95";"14.713"
"222";"49.16";"15.233"
"222";"48.95";"14.993"
"222";"48.89";"15.123"
"222";"48.07";"14.873"
"220";"48.25";"14.863"
"220";"48.04";"14.873"
"219";"48.5";"15.943"
"219";"48.39";"14.863"
"219";"48.39";"14.853"
"219";"48.27";"15.413"
"219";"48.23";"14.953"
"219";"48.08";"14.843"
"218";"49.16";"15.243"
"218";"48.26";"14.793"
"218";"48.07";"14.733"
"217";"49.16";"15.283"
"215";"48";"14.823"
"215";"47.89";"14.583"
"214";"48.35";"15.093"
"214";"48.25";"14.833"
"214";"48.22";"14.983"
"214";"47.88";"14.543"
"213";"48.37";"14.963"
"213";"48.36";"15.013"
"213";"48.22";"15.063"
"213";"48.11";"15.063"
"213";"48.05";"14.903"
"212";"48.88";"15.133"
"212";"48.42";"14.673"
"212";"48.3";"15.483"
"211";"49.16";"15.313"
"210";"48.51";"15.953"
"210";"48.41";"14.703"
"210";"48.41";"14.263"
"209";"49.22";"15.023"
"209";"49.18";"15.173"
"209";"48.43";"14.603"
"208";"48.43";"14.563"
"208";"48.21";"15.023"
"207";"48.93";"15.043"
"207";"48.37";"14.973"
"207";"48.26";"14.803"
"207";"48.1";"14.763"
"207";"47.87";"14.533"
"206";"48.34";"15.143"
"206";"48.32";"15.283"
"206";"48.27";"14.683"
"206";"48.06";"14.993"
"206";"47.9";"15.333"
"205";"49.19";"15.063"
"205";"48.41";"14.713"
"204";"48.38";"14.933"
"204";"48.06";"14.983"
"204";"47.9";"15.063"
"203";"48.93";"15.033"
"203";"48.12";"15.083"
"203";"48.1";"15.033"
"203";"48.05";"14.883"
"202";"48.88";"15.143"
"202";"48.25";"14.843"
"202";"48.16";"15.213"
"202";"48.07";"14.743"
"202";"47.9";"15.343"
"201";"49.17";"15.213"
"201";"48.45";"14.433"
"201";"48.39";"14.843"
"201";"48.23";"14.813"
"200";"48.52";"15.503"
"200";"48.38";"14.893"
"200";"48.26";"14.823"
"200";"48.26";"14.753"
"200";"48.08";"14.813"
"200";"47.88";"14.523"
"199";"48.96";"15.543"
"199";"48.41";"14.693"
"199";"48.07";"14.953"
"199";"48.07";"14.813"
"199";"48.06";"14.633"
"199";"48.04";"14.803"
"198";"49.13";"15.383"
"198";"48.26";"14.773"
"198";"48.08";"15.533"
"198";"48.07";"14.863"
"197";"49.21";"15.033"
"197";"48.42";"14.653"
"197";"48.33";"15.183"
"196";"49.16";"15.253"
"196";"49.13";"15.433"
"196";"48.96";"14.973"
"196";"48.42";"14.633"
"196";"48.39";"14.823"
"196";"48.37";"14.433"
"196";"48.34";"15.183"
"196";"48.3";"15.373"
"196";"48.27";"14.783"
"196";"48.1";"15.463"
"195";"48.92";"15.053"
"195";"48.43";"14.573"
"195";"48.4";"14.803"
"195";"48.26";"14.763"
"195";"47.91";"14.623"
"195";"47.87";"14.523"
"194";"49.23";"14.933"
"194";"48.38";"14.923"
"194";"48.36";"15.063"
"194";"48.26";"14.783"
"194";"48.08";"15.003"
"194";"48.08";"14.823"
"194";"48.06";"14.273"
"194";"48.06";"14.163"
"194";"48.05";"14.893"
"194";"47.9";"15.393"
"193";"48.43";"14.613"
"193";"48.4";"14.273"
"193";"48.36";"15.023"
"193";"48.34";"15.123"
"193";"48.33";"15.193"
"193";"48.27";"14.733"
"193";"48.21";"15.053"
"193";"48.06";"14.283"
"193";"47.91";"14.603"
"193";"47.9";"15.353"
"192";"48.73";"15.073"
"192";"48.4";"15.703"
"192";"48.39";"14.343"
"192";"48.37";"14.993"
"192";"48.36";"15.033"
"191";"49.18";"15.213"
"191";"48.35";"15.063"
"191";"48.01";"14.823"
"191";"47.56";"11.983"
"190";"49.05";"15.713"
"190";"48.94";"15.023"
"190";"48.38";"14.883"
"190";"48.32";"14.573"
"190";"48.12";"14.683"
"189";"48.49";"15.913"
"189";"48.27";"14.743"
"189";"48.14";"15.103"
"189";"48.09";"14.833"
"189";"48.03";"14.893"
"189";"47.9";"15.043"
"188";"48.97";"14.953"
"188";"48.19";"15.093"
"188";"48.14";"14.643"
"188";"48.11";"14.703"
"188";"47.94";"14.693"
"187";"49.21";"15.253"
"187";"48.91";"15.083"
"187";"48.04";"14.813"
"186";"48.39";"14.833"
"186";"48.3";"15.393"
"186";"48.15";"15.253"
"186";"48.06";"14.203"
"186";"48.05";"14.873"
"185";"48.07";"14.803"
"184";"49.21";"15.053"
"184";"48.38";"14.903"
"184";"48.22";"15.283"
"184";"48.09";"14.793"
"184";"47.96";"14.713"
"184";"47.9";"15.323"
"183";"49.27";"14.993"
"183";"49.16";"15.223"
"183";"48.03";"14.823"
"182";"49.08";"15.663"
"182";"48.42";"14.213"
"182";"48.4";"14.313"
"182";"48.11";"14.783"
"181";"48.51";"15.733"
"181";"48.39";"14.303"
"181";"48.08";"15.523"
"180";"48.97";"14.943"
"180";"48.25";"14.853"
"180";"48.13";"14.673"
"180";"48.09";"14.783"
"180";"48.06";"14.173"
"179";"49.24";"14.923"
"179";"49.2";"15.083"
"179";"49.16";"15.263"
"179";"48.39";"14.293"
"179";"48.36";"14.423"
"179";"48.3";"15.383"
"179";"48.09";"15.023"
"179";"48.06";"15.003"
"178";"48.58";"16.123"
"178";"48.43";"14.163"
"178";"48.34";"14.553"
"178";"48.27";"14.693"
"178";"48.26";"15.383"
"178";"48.13";"14.683"
"178";"48.09";"14.823"
"178";"48.06";"14.293"
"178";"48.05";"14.863"
"177";"48.62";"15.563"
"177";"48.43";"14.593"
"177";"48.42";"14.643"
"177";"48.2";"15.263"
"177";"48.06";"15.013"
"176";"49.23";"14.953"
"176";"48.96";"14.963"
"176";"48.42";"14.223"
"176";"48.37";"14.943"
"176";"48.32";"14.563"
"176";"48.11";"15.423"
"176";"48.02";"14.843"
"176";"47.6";"11.903"
"175";"48.74";"15.063"
"175";"48.35";"15.083"
"175";"48.24";"14.763"
"175";"48.08";"15.543"
"175";"48.06";"14.263"
"175";"47.9";"15.363"
"174";"48.32";"15.263"
"174";"48.27";"14.723"
"174";"48.09";"14.763"
"174";"48.03";"14.953"
"174";"48.03";"14.833"
"173";"49.21";"15.013"
"173";"49.2";"15.073"
"173";"49.03";"15.883"
"173";"48.98";"14.263"
"173";"48.32";"15.273"
"173";"48.31";"15.313"
"173";"47.63";"11.843"
"172";"49.12";"15.443"
"172";"48.71";"14.953"
"172";"48.36";"15.053"
"172";"48.35";"15.073"
"172";"48.11";"14.693"
"172";"48.1";"14.803"
"172";"48.09";"14.803"
"172";"47.9";"14.603"
"171";"49.22";"14.973"
"171";"49.12";"15.453"
"171";"48.32";"14.543"
"171";"48.21";"15.063"
"171";"48.08";"14.833"
"171";"47.84";"14.613"
"170";"49.16";"15.303"
"170";"48.95";"14.983"
"170";"48.37";"15.063"
"170";"48.32";"14.623"
"170";"48.14";"15.313"
"170";"48.06";"14.153"
"170";"48.05";"14.853"
"170";"47.62";"11.863"
"169";"48.32";"14.493"
"169";"48.25";"14.723"
"169";"48.15";"15.273"
"169";"48.07";"14.823"
"169";"48.06";"15.133"
"168";"49.2";"15.063"
"168";"48.74";"15.133"
"168";"48.51";"15.083"
"168";"48.43";"14.583"
"168";"48.27";"14.763"
"168";"48.27";"14.753"
"168";"48.1";"14.813"
"168";"48.05";"15.163"
"167";"49.25";"14.873"
"167";"49.03";"15.893"
"167";"48.95";"15.003"
"167";"48.91";"15.063"
"167";"48.75";"15.093"
"167";"48.45";"14.443"
"167";"48.36";"15.613"
"167";"48.26";"14.813"
"167";"48.06";"14.183"
"167";"48.04";"14.863"
"166";"49.14";"15.403"
"166";"48.32";"14.583"
"166";"47.9";"15.143"
"166";"47.57";"11.963"
"165";"49.27";"14.983"
"165";"49.16";"15.413"
"165";"48.45";"15.813"
"165";"48.39";"15.693"
"165";"48.29";"14.683"
"165";"48.27";"14.713"
"165";"48.27";"14.703"
"165";"48.25";"14.733"
"165";"48.19";"14.933"
"165";"48.1";"14.673"
"165";"48.04";"14.723"
"165";"47.89";"14.743"
"165";"47.79";"14.713"
"164";"49.27";"15.003"
"164";"49.21";"15.243"
"164";"49.15";"15.333"
"164";"49.04";"15.853"
"164";"48.97";"14.283"
"164";"48.25";"14.823"
"164";"48.23";"14.993"
"164";"48.18";"15.123"
"164";"48.06";"14.193"
"164";"48.05";"15.283"
"163";"48.47";"14.003"
"163";"48.3";"15.473"
"163";"48.28";"14.743"
"163";"48.12";"14.763"
"163";"48.07";"14.883"
"163";"48.05";"14.783"
"163";"47.91";"14.573"
"163";"47.9";"15.153"
"163";"47.59";"11.923"
"162";"49.07";"15.713"
"162";"48.51";"15.743"
"162";"48.46";"15.853"
"162";"48.46";"15.843"
"162";"48.46";"14.383"
"162";"48.33";"14.533"
"162";"48.33";"14.513"
"162";"48.27";"14.833"
"162";"48.25";"14.743"
"162";"48.12";"15.393"
"162";"48.06";"14.623"
"162";"47.91";"14.583"
"161";"49.13";"15.373"
"161";"49.1";"15.573"
"161";"48.41";"14.723"
"161";"48.4";"14.793"
"161";"48.33";"15.203"
"161";"48.31";"15.493"
"161";"48.3";"14.473"
"161";"48.28";"15.433"
"161";"48.15";"15.283"
"161";"48.05";"14.833"
